Benchmarking M=256 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
16003800 	60189500 	23452900 	125702600 	59907000 	10430900 	93371800 	146616600 	148680600 	2282500 	
13540200 	99748900 	23011600 	144381600 	54836300 	9892500 	88839200 	135704000 	150513800 	3603400 	
13836300 	100769200 	22912900 	148506200 	59246600 	9953300 	87645800 	182142100 	144196300 	3197700 	
14066400 	101773800 	22918000 	135286500 	58953400 	10294800 	89519100 	150619200 	149069500 	2294100 	
13977000 	103912100 	25243300 	154405100 	54828700 	9966100 	89914500 	137427800 	154279600 	2365700 	
12505600 	101968800 	22231600 	143384800 	62683000 	13152200 	98628800 	149628800 	149727900 	2148300 	
13999600 	101818900 	22606100 	157457200 	54431800 	9945600 	87219300 	133944500 	139244400 	2264700 	
15430700 	103642900 	21729600 	132379900 	49111300 	9911000 	87531100 	139725300 	152509400 	2551300 	
13725200 	101779700 	22954100 	150631300 	54763600 	9982400 	91975800 	143748600 	150568100 	2264100 	
14483500 	105898600 	24415700 	160686700 	49420300 	10013900 	88078300 	138302200 	142666400 	2213300 	
141	981	231	1452	558	103	902	1457	1481	25	ms
1.00	0.14	0.61	0.10	0.25	1.37	0.16	0.10	0.10	5.62	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
20714700 	87558200 	22409000 	158878300 	51614700 	9079100 	83721800 	147954700 	133648200 	2076100 	
16105700 	94967500 	21490100 	136269000 	58088500 	9137500 	79633600 	149898500 	149275500 	2249900 	
13800100 	93216500 	21438200 	141715900 	58206300 	9307400 	89136000 	148961100 	146935200 	2156200 	
14086700 	93282300 	22973400 	149023200 	55887700 	9164500 	83831100 	146704600 	137622500 	2069500 	
13999300 	94963800 	21919000 	156125900 	47888800 	9177300 	80646300 	138253800 	139979100 	2111400 	
13651500 	91842400 	21137100 	137765900 	59303600 	9129800 	83367100 	172788000 	149169500 	2011000 	
13776100 	93588200 	21254300 	158725100 	52105000 	9134500 	82139400 	151794300 	148058900 	2049700 	
14069200 	95736300 	21524700 	158775600 	54733200 	9694800 	79981100 	149495000 	150978200 	2067500 	
14468600 	93561700 	22154300 	146322300 	59034400 	11316900 	90734300 	137592000 	145514900 	3002800 	
13738900 	94876900 	22601600 	125972500 	62602700 	9548100 	85870000 	136500500 	149524400 	2264100 	
148	933	218	1469	559	94	839	1479	1450	22	ms
1.00	0.16	0.68	0.10	0.27	1.57	0.18	0.10	0.10	6.73	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
15964100 	44629600 	19607700 	162366000 	60729700 	9619200 	76266200 	182056200 	144079700 	2127600 	
15148500 	85807400 	20120000 	143298300 	55928900 	9852700 	77628400 	158934400 	142740800 	1809800 	
13503300 	84244900 	19807300 	153464000 	51957800 	8328000 	76979300 	141380700 	141964900 	1857200 	
14403600 	89494900 	20669300 	157211600 	62713200 	10018600 	77557800 	136701900 	142335500 	2017900 	
13393500 	87999400 	19173800 	155397000 	51502800 	8226400 	73183600 	145249000 	131756700 	2075400 	
13480200 	79285400 	20704500 	155909600 	59461100 	8398100 	74363700 	145454400 	135050400 	1858100 	
13681100 	85022600 	22458500 	158728600 	47449300 	8403400 	72886600 	135785300 	132600400 	1793200 	
13687900 	87335000 	20092800 	132467600 	60984300 	8269300 	71867600 	145308300 	147155500 	2090100 	
13808300 	84757100 	20534400 	151247300 	46161600 	8278800 	78359000 	142231700 	135432100 	1795300 	
13544800 	84876400 	20724500 	149136700 	52195100 	10066500 	74014900 	137260300 	143203700 	1999000 	
140	813	203	1519	549	89	753	1470	1396	19	ms
1.00	0.17	0.69	0.09	0.26	1.57	0.19	0.10	0.10	7.24	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
17898300 	67264300 	18241600 	149618000 	56770600 	7374400 	64191300 	140418100 	137093900 	1959500 	
12741200 	73592300 	18109700 	155036800 	50228700 	7386000 	67978300 	179776400 	137784500 	1663400 	
14359700 	75534300 	18659900 	131130300 	54306800 	9750100 	69658900 	147771400 	135258200 	2528800 	
14191000 	75726300 	18695400 	155338800 	49464200 	7496200 	71995200 	146953800 	137660400 	2174000 	
14068200 	77189400 	18718600 	157984200 	50935000 	7549900 	69407000 	198021000 	137226200 	1822800 	
13900600 	75184100 	18251100 	139560300 	54982900 	7288700 	67477000 	141926500 	137675000 	1926700 	
13668000 	74716300 	18477800 	161876200 	58227300 	7422600 	63603700 	144108400 	135522600 	1824100 	
14176900 	76971500 	22131000 	158002000 	51685700 	9058000 	77297800 	176982100 	138172000 	1714900 	
13731200 	72664700 	19327300 	157109500 	49268300 	7778800 	64445800 	149278400 	121804100 	1687200 	
13951000 	75247200 	18577500 	143212300 	55837600 	7647400 	67500200 	140655000 	137817900 	1623600 	
142	744	189	1508	531	78	683	1565	1356	18	ms
1.00	0.19	0.75	0.09	0.27	1.81	0.21	0.09	0.11	7.54	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
15840900 	53301000 	18518400 	143743800 	54834400 	6413200 	58664000 	141517800 	139195000 	1526600 	
14120100 	67645300 	17353200 	137644000 	52868300 	6585300 	57518900 	166922500 	112519200 	1488200 	
13858400 	66111400 	16277400 	138732700 	52680000 	6544300 	58942100 	152958500 	124378200 	1461500 	
14218600 	66765800 	16646500 	127642300 	43697700 	7912900 	65171400 	137722600 	129425400 	1842600 	
14390800 	66364100 	14950400 	149874300 	54361700 	6624600 	56899000 	152453600 	128573600 	1663400 	
12613100 	66495100 	15163700 	150615500 	51543300 	6554200 	57915900 	145909700 	130780100 	1589500 	
14129800 	69745300 	17773000 	122685600 	58040600 	8717500 	67877500 	165113900 	131058300 	1578600 	
14145800 	66613400 	15297100 	148475900 	53573500 	6975900 	60390700 	143879200 	125412500 	1791000 	
12180800 	66714500 	16604300 	153748800 	48459900 	6529700 	60030300 	145635300 	118579400 	1687700 	
13366500 	66739400 	16319400 	152885100 	50230900 	6730100 	66664800 	175961300 	127864100 	1672200 	
138	656	164	1426	520	69	610	1528	1267	16	ms
1.00	0.21	0.84	0.10	0.27	2.00	0.23	0.09	0.11	8.52	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
15510600 	29758800 	14706800 	158080000 	45184800 	5701500 	51134900 	151158800 	119722200 	1381900 	
14021000 	59517800 	15115700 	129809500 	55168100 	5665100 	50609200 	147153100 	110897000 	1331900 	
15315000 	58787000 	14300300 	153342800 	47846300 	6186000 	50740900 	186257400 	130747000 	1579300 	
13931600 	57786000 	14787000 	146323500 	49313100 	6032200 	48132100 	153369800 	122329300 	1326400 	
13560900 	57708600 	14464200 	155448800 	46958400 	5663600 	51384100 	143646100 	121520800 	1328100 	
14218300 	57410800 	15059200 	152982400 	49724200 	6062700 	57855200 	172690300 	120868900 	1321700 	
14014900 	57268900 	14693500 	160063000 	44301300 	5704800 	48883700 	143477900 	121280000 	1335400 	
13813900 	57473300 	16430600 	152433000 	47804800 	5712300 	48187900 	141771700 	119500600 	1607500 	
15977300 	58973100 	15344800 	151922200 	48029300 	5650000 	52872800 	153813200 	119376100 	1553300 	
14059300 	58131300 	14799200 	158626600 	44813400 	5707100 	47997000 	142814200 	121176000 	1340400 	
144	552	149	1519	479	58	507	1536	1207	14	ms
1.00	0.26	0.96	0.10	0.30	2.49	0.28	0.09	0.12	10.24	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
15893300 	33515200 	13598900 	132278200 	49970900 	5308500 	43337900 	139235100 	112810200 	1171200 	
14650400 	48984200 	13101700 	147513300 	45558200 	4897100 	40285900 	153366900 	113584200 	1214700 	
13651100 	48683700 	12637300 	135190400 	47199100 	7114300 	51117200 	161347600 	112829600 	1210000 	
13685900 	49048100 	13014700 	108649900 	35344800 	4986500 	42388800 	148585500 	113257400 	1150700 	
13198000 	48419800 	13291600 	131725200 	50516500 	6392700 	41471600 	143486400 	111323800 	1216600 	
13399300 	48205700 	13151100 	151336000 	44402800 	6758000 	42783000 	143769700 	109513900 	1720600 	
13877600 	48700800 	14174900 	130976300 	49792600 	6638600 	40638400 	154773500 	109188600 	1210000 	
14045700 	48383400 	13450300 	154505600 	47404500 	4952600 	43138900 	141515900 	107542800 	1139400 	
13902400 	48694200 	12818200 	147666300 	47412200 	5004300 	43950500 	148283400 	109657200 	1138500 	
12697900 	48872700 	12969200 	147538900 	39162700 	6317900 	52266500 	157195900 	109604000 	1314300 	
139	471	132	1387	456	58	441	1491	1109	12	ms
1.00	0.29	1.05	0.10	0.30	2.38	0.31	0.09	0.13	11.13	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
15565200 	19686800 	10566100 	146030000 	43667200 	4061500 	34587500 	167047500 	97827700 	1267900 	
12816900 	39018400 	11327900 	153100100 	40132200 	4158400 	32080400 	141949000 	98514500 	948400 	
13625900 	39510100 	10262100 	140959400 	44812800 	5531700 	33245700 	145789800 	90495400 	944900 	
14424800 	39632300 	11173700 	154809400 	44324900 	6271900 	39129700 	141731300 	89288500 	961200 	
13872300 	39257100 	11076000 	144631700 	44686200 	4362500 	33214800 	142047200 	99331100 	963700 	
13826900 	39073300 	11265100 	153831100 	44840600 	4048500 	32525100 	142046600 	98894200 	1116900 	
14026000 	39172700 	11435300 	141285700 	44070400 	5380500 	32504800 	143692000 	98334800 	1062500 	
14280100 	39362200 	10917800 	138874600 	44519500 	5687000 	32342100 	143645100 	99822900 	1294600 	
13575900 	39306800 	11166400 	151295100 	41101000 	6032400 	35458600 	150049500 	97901100 	1034000 	
13857500 	39005000 	11045500 	141006800 	43870600 	5569500 	32859000 	146322600 	98462000 	1293700 	
139	373	110	1465	436	51	337	1464	968	10	ms
1.00	0.37	1.27	0.10	0.32	2.74	0.41	0.10	0.14	12.85	speedup
Benchmarking M=256 K=1024 N=4096 Sparsity=0.850000 Variation=0.050000 
