Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
17730900 	131004500 	59206500 	13612400 	41469800 	16469700 	73879300 	44112800 	2248400 	
22323400 	153695100 	61506000 	16036300 	41613300 	15044200 	74100100 	42836400 	2295100 	
20596000 	144417900 	48532800 	17113600 	41592800 	13559800 	68094500 	41612000 	2196000 	
17672400 	141160700 	52326800 	16004600 	55088500 	15614800 	74909700 	43966500 	2224600 	
18835200 	151058600 	60527100 	14733800 	47599600 	19404700 	71064000 	54903500 	2238400 	
17940800 	138716300 	51443300 	15436600 	41599000 	14255500 	68142200 	43299800 	2307500 	
17097200 	154855300 	63511200 	14179700 	41751000 	12984700 	68512900 	42971000 	2272400 	
18008200 	153179800 	63735700 	15534900 	41572600 	14667100 	71811100 	43508000 	2256600 	
17950400 	143680200 	56306000 	15830900 	52763800 	13559400 	72502100 	42907000 	2223500 	
18027500 	153459900 	50807000 	16201700 	44843700 	14815000 	71960300 	47125300 	2234100 	
186	1465	567	154	449	150	714	447	22	ms
1.00	0.13	0.33	1.20	0.41	1.24	0.26	0.42	8.28	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
16715000 	131286900 	55496700 	14975400 	51062500 	13371100 	64530300 	39551400 	2012400 	
18143000 	143440900 	45985300 	14208600 	39455900 	14417100 	67124600 	40867400 	2117000 	
16818100 	134864300 	60190700 	13409200 	37493100 	12016800 	66679800 	41072400 	2051300 	
16914300 	142578500 	60444100 	13602000 	39353100 	13136900 	62128800 	43467800 	2118700 	
17458100 	134158600 	56721200 	13775500 	39904600 	12113900 	72789100 	46892300 	2110400 	
17203800 	140089600 	58068800 	14627600 	40811900 	14270700 	70020000 	41836200 	2137800 	
18691100 	135594600 	60785200 	13059000 	40091500 	12819900 	60866100 	39576100 	2077100 	
16671700 	136969600 	44735300 	13557700 	53716300 	15376500 	67516700 	40404200 	2039200 	
16064700 	145884400 	51541900 	14210400 	40576900 	12496100 	62107300 	39481100 	2025300 	
17378800 	144463700 	46469100 	12622100 	39061600 	12860900 	65992600 	42258600 	2785500 	
172	1389	540	138	421	132	659	415	21	ms
1.00	0.12	0.32	1.25	0.41	1.29	0.26	0.41	8.01	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10773900 	118832300 	55929400 	12405900 	35755100 	13977100 	65122600 	38046200 	2491500 	
16968100 	128329600 	54530500 	12088100 	37244500 	11257000 	57601800 	39416500 	1910900 	
17359700 	127754200 	46842100 	12487900 	46054900 	14942600 	56564200 	40906600 	2477200 	
16729700 	124780300 	55675800 	12041500 	30689600 	10252300 	56909100 	34711400 	2451600 	
22312700 	132394300 	42432900 	12255200 	52615500 	14369300 	59163600 	40970600 	2390100 	
16611700 	128797500 	43528100 	12239600 	38676800 	16525900 	57699800 	40681000 	2444700 	
