Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
12099000 	117347100 	35244700 	16071000 	30973500 	14144200 	70217900 	37171200 	2230600 	
18908700 	140525400 	39227500 	14990000 	41019700 	12657800 	67427900 	37975300 	2187800 	
18156700 	147473900 	40951000 	15560400 	42152100 	9833900 	56657400 	27978300 	1451000 	
17835200 	145891000 	54991600 	16874900 	59037900 	17863900 	79025400 	39560600 	1485000 	
17945500 	150803000 	34567400 	12936600 	31195600 	10140200 	56676500 	28544000 	1443200 	
18532900 	144140100 	34571200 	16179300 	41948600 	12292500 	67402500 	37252300 	2254100 	
21581200 	140916100 	64385000 	14915300 	52802400 	14753900 	67997700 	37657500 	2699300 	
18181600 	137634800 	51954900 	15724000 	53199800 	12612600 	66248800 	38420600 	1498300 	
18396300 	146069800 	53422600 	15818100 	51060900 	18623500 	70351900 	37007700 	2157100 	
17688800 	141305700 	59385700 	15189500 	60129800 	12494000 	67036800 	36224700 	2185000 	
179	1412	468	154	463	135	669	357	19	ms
1.00	0.13	0.38	1.16	0.39	1.32	0.27	0.50	9.15	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
16084400 	115994400 	49671900 	14029400 	37468200 	11352000 	60658300 	34657900 	2052200 	
17731300 	134236500 	47427500 	13506800 	37494600 	13046400 	58552100 	35106400 	2037600 	
17629800 	134759900 	42602500 	14742200 	41899500 	12084600 	63441000 	36918200 	2012600 	
17546100 	135537100 	39061700 	13619800 	41139700 	13628500 	61375000 	36432000 	2020100 	
17201500 	132632000 	49936300 	14121800 	52190800 	11378300 	61192300 	36560500 	2009800 	
17359700 	140777600 	31622100 	13900300 	41181700 	13527400 	65655100 	35013900 	2057100 	
17506400 	134963600 	31052400 	13549600 	39903300 	12092900 	67086100 	40951900 	2502900 	
17270800 	129067600 	33116600 	14735700 	40523800 	9322600 	52074100 	27586800 	1372000 	
17468700 	131894600 	48086500 	14115500 	40474900 	11340600 	63461100 	38101200 	2052700 	
17755000 	138672400 	46287200 	14568500 	42567800 	14919500 	67703900 	46573600 	2026600 	
173	1328	418	140	414	122	621	367	20	ms
1.00	0.13	0.41	1.23	0.42	1.41	0.28	0.47	8.62	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
14317600 	116992700 	35328900 	13713800 	38649600 	10924500 	54802100 	36252200 	1960600 	
18159400 	123607400 	33638600 	12632000 	46927300 	12518400 	54999400 	35033900 	1895100 	
17321500 	124605700 	52378900 	13054200 	56465800 	12091400 	57095100 	47469400 	1852900 	
17182700 	122294900 	45179700 	13184600 	55731500 	11443800 	56892800 	37638700 	2390300 	
17221300 	121742900 	40927900 	12650600 	39397500 	11497500 	55217100 	35341700 	1861200 	
17228900 	130670600 	29771700 	15189200 	38291000 	10615600 	57058500 	35045200 	1867000 	
16839500 	122698600 	48146900 	12017900 	39567000 	10298000 	54311000 	33452200 	1847300 	
17940600 	123359700 	28382900 	12873700 	29617900 	8526500 	46887500 	27214400 	1205300 	
16964100 	125408900 	42688600 	13962100 	38824500 	10982800 	58867500 	34897300 	1914000 	
17356100 	117082800 	42664900 	13267400 	55950400 	10595500 	53838500 	26386800 	1214300 	
170	1228	399	132	439	109	549	348	18	ms
1.00	0.14	0.43	1.29	0.39	1.56	0.31	0.49	9.47	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
14501500 	106106800 	48218200 	12440800 	38808400 	16504700 	62932100 	48633000 	2795900 	
20612800 	117055100 	50214100 	13008700 	41238500 	14394000 	57280600 	38068700 	2916300 	
17200600 	113895400 	49694400 	12463900 	36771200 	11014800 	52651000 	34561200 	1878000 	
17973300 	119155500 	48297800 	12180400 	44120900 	11054000 	53081800 	32100000 	1733900 	
17133700 	112769600 	47496900 	11559300 	40414200 	10067400 	51646800 	34556400 	1735700 	
16415800 	112849500 	40172600 	12070000 	37541000 	11379200 	49700400 	38466100 	2108300 	
16382700 	115215400 	48122100 	11121500 	52782400 	11066700 	53566800 	32683800 	1706300 	
16609800 	111019100 	38174800 	12265900 	35585900 	9340700 	49765100 	41211500 	1741100 	
16825100 	111229000 	38142400 	11471100 	37463700 	11437500 	50707900 	33696100 	1693600 	
16273100 	113840800 	41957400 	11614800 	38207100 	10311400 	50367600 	32486600 	1680900 	
169	1133	450	120	402	116	531	366	19	ms
1.00	0.15	0.38	1.41	0.42	1.46	0.32	0.46	8.50	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
15847400 	88699200 	41838800 	10116700 	36536200 	10467500 	45881100 	30592500 	1575100 	
8536300 	81935600 	44196500 	11635800 	34738000 	8844800 	45423400 	31067500 	1569100 	
16220500 	100527700 	42620300 	9652200 	36506300 	10289400 	46821600 	33186100 	1607000 	
16196500 	99396600 	44656700 	10203700 	37951700 	8502600 	44667300 	32814900 	1580900 	
15820300 	99473500 	30830000 	11054000 	35677400 	8559600 	43247700 	32988000 	1800100 	
11565600 	88685600 	37594000 	10619200 	38229700 	8671000 	42203800 	31498400 	1547500 	
9079600 	87180200 	43533400 	10423000 	37157400 	8653000 	43600400 	30403600 	1506900 	
16036000 	100886300 	41192100 	10529100 	39669500 	10162000 	46063500 	41320800 	1570300 	
15862100 	99054700 	37329700 	11267000 	27314300 	9563000 	44130700 	30473800 	1547700 	
9128900 	85779700 	44047400 	10799100 	51750600 	10343000 	43121000 	42670900 	1583100 	
134	931	407	106	375	94	445	337	15	ms
1.00	0.14	0.33	1.26	0.36	1.43	0.30	0.40	8.45	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10320600 	76833600 	39172400 	9684100 	33533300 	7631300 	39129400 	28042900 	1453900 	
10384200 	74944600 	39576700 	9041200 	46887700 	7965600 	38120800 	38488100 	1390100 	
15616100 	85884600 	33720400 	9153000 	31030100 	7456300 	39692800 	28501400 	1373200 	
8624500 	70368400 	37729600 	9269500 	35432100 	9237900 	42820800 	30039900 	1442800 	
