Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
52689500 	97275300 	665977300 	611690100 	594233300 	518985000 	123034600 	
56897700 	92393000 	674845600 	615477500 	602189700 	516086700 	128838700 	
53452600 	90572000 	658990000 	605925800 	605789300 	515808000 	130386100 	
52591800 	90734400 	662932000 	627145100 	597744400 	518174000 	129068600 	
52533600 	90607200 	680709000 	614462000 	600434600 	518771100 	125042300 	
52273900 	91182900 	676655100 	615981100 	608065000 	520816400 	123191400 	
52252800 	95749600 	672345300 	622063100 	594955600 	518422000 	125169900 	
53990900 	91422000 	671673700 	612233800 	595993500 	518905100 	126919300 	
52274000 	94235300 	666739000 	615270400 	597366400 	524943000 	127280500 	
56049900 	93481900 	669244500 	625384000 	597949800 	517925700 	124820100 	
535	927	6700	6165	5994	5188	1263	ms
1.00	0.58	0.08	0.09	0.09	0.10	0.42	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.500000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
56611600 	86910600 	682726200 	624365900 	590309800 	503701200 	123172800 	
53327400 	83063900 	668886700 	617666600 	596644700 	506236700 	124301100 	
55632300 	83960100 	670182700 	628606100 	591362900 	502481500 	125943400 	
53188100 	82920400 	681485000 	621250500 	590838400 	508653800 	120886000 	
54334600 	84201200 	670700900 	616430800 	596609200 	501991900 	120814000 	
52651200 	83218300 	673328100 	624422000 	585674800 	501743400 	120353800 	
52177600 	83055600 	682330200 	609056800 	582702400 	499439500 	120562500 	
52108900 	83195700 	670056600 	612744800 	598438100 	500010000 	120299500 	
52620900 	85173400 	669167200 	621522900 	587527400 	505003500 	120525500 	
52117900 	87724000 	681561200 	618267700 	588046100 	503953900 	120289600 	
534	843	6750	6194	5908	5033	1217	ms
1.00	0.63	0.08	0.09	0.09	0.11	0.44	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.550000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
53866500 	76785000 	682420600 	619928500 	580687600 	489985900 	120723900 	
53758900 	75397900 	674246500 	622262500 	586719000 	489581300 	119500000 	
53560600 	75194300 	674405900 	635973700 	589121600 	490818700 	119508800 	
53364500 	77005500 	681158400 	625129500 	576926700 	490709300 	119659400 	
53357800 	75082400 	673715000 	627694100 	585657900 	489377700 	116655200 	
53371900 	75146500 	682156800 	628131300 	577507200 	488913200 	116966300 	
54145900 	75707900 	694414200 	632358500 	577760300 	490367800 	119123500 	
52775400 	75195200 	679685500 	626966100 	579105100 	490318300 	119412700 	
53239100 	77531600 	684587700 	621990800 	577171500 	489042200 	116745300 	
54230500 	80188800 	673950500 	618284100 	577466700 	489820600 	116703800 	
535	763	6800	6258	5808	4898	1184	ms
1.00	0.70	0.08	0.09	0.09	0.11	0.45	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.600000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
54049000 	69385700 	688081500 	626735400 	560452400 	469205900 	118154900 	
53972200 	67629100 	679544300 	624953500 	566385000 	469848000 	114853000 	
56440300 	68174800 	676754400 	629481100 	555226200 	467346700 	113200300 	
56853100 	69875600 	689493600 	630807300 	554601500 	468034800 	113145000 	
52279400 	72756100 	686296200 	622388900 	563424500 	468592800 	113391100 	
53286300 	72281900 	691532000 	644030500 	560107000 	469597100 	113112500 	
52223700 	71827000 	697036900 	625952500 	559032700 	470759200 	113320000 	
52313800 	70773100 	690156800 	627597700 	566607300 	471512300 	113288300 	
52352900 	70271600 	684570000 	636541300 	560532500 	470379300 	114366200 	
52975200 	69199000 	691924800 	631535700 	560602000 	469983200 	115878200 	
536	702	6875	6300	5606	4695	1142	ms
1.00	0.76	0.08	0.09	0.10	0.11	0.47	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.650000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
54881100 	62008400 	697256500 	636419500 	538888000 	446667800 	109833900 	
53345500 	63623100 	683124400 	636385000 	535549600 	449744300 	113825800 	
52569500 	59316200 	695115900 	636512800 	538770800 	448547400 	108754800 	
54759400 	60306100 	689185400 	641187900 	534146900 	452050800 	109202700 	
52554200 	62584600 	702954600 	641446500 	534378900 	446464600 	111432600 	
52790100 	59254100 	691376400 	634545600 	549449000 	444015200 	113733900 	
53788600 	59099700 	685390000 	645052100 	534348400 	444280400 	112825700 	
54209100 	60101800 	691175200 	632919600 	539496500 	447985500 	112700500 	
56667200 	61654800 	685623600 	631113500 	536451000 	448110800 	108771000 	
55008900 	61926400 	688374000 	635923600 	536016000 	443956100 	108733600 	
540	609	6909	6371	5377	4471	1109	ms
1.00	0.89	0.08	0.08	0.10	0.12	0.49	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.700000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
53713100 	55247500 	690015900 	630473000 	502394200 	414453000 	101603100 	
52306400 	51558400 	687553300 	645524100 	497024700 	411804100 	105479400 	
53495100 	50960500 	691379800 	636465000 	499331800 	415810900 	101357700 	
52558400 	55079600 	706678100 	634443300 	502276400 	420604100 	101969800 	
52738300 	51015400 	693277800 	640468500 	509205500 	412492300 	107758300 	
52958600 	51044200 	688000500 	645146300 	499041000 	420603500 	101346900 	
54578300 	54201300 	708311600 	644525600 	505185300 	419854600 	101666200 	
52683900 	52487700 	707780800 	641864400 	501206500 	416264500 	105942500 	
55509700 	50745100 	689335200 	639061300 	507213000 	415300200 	105854700 	
53171600 	54512200 	695015400 	640615400 	502909300 	422453600 	101319600 	
533	526	6957	6398	5025	4169	1034	ms
1.00	1.01	0.08	0.08	0.11	0.13	0.52	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.750000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
55206400 	42502700 	699434100 	640962300 	474034400 	380010300 	97574200 	
52677600 	42063300 	692125800 	642422000 	465375000 	380116200 	96505600 	
53170700 	42100800 	700295200 	636970500 	467954700 	385702800 	97102400 	
52965500 	42040300 	711310900 	636301600 	468780200 	383574200 	96450100 	
52664400 	42193800 	693134300 	635873300 	473554400 	385834800 	96435500 	
54321000 	44171600 	692384000 	640178600 	467650700 	383736900 	94449400 	
52590000 	42138800 	690462800 	645060000 	463262100 	384040400 	98553400 	
53981000 	45835100 	701582400 	635923800 	471003800 	385203900 	97503000 	
52489100 	42448300 	700072900 	639360700 	462956000 	379882200 	95451900 	
58728100 	44249200 	687642000 	629922500 	467972600 	381054400 	92881700 	
538	429	6968	6382	4682	3829	962	ms
1.00	1.25	0.08	0.08	0.12	0.14	0.56	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.800000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
52768600 	33858800 	711959600 	642517800 	429175000 	333139900 	85022000 	
55981000 	35370900 	689819900 	678439200 	430457500 	339083000 	86822500 	
52320500 	34144700 	695287800 	644600100 	427719300 	344408500 	84128300 	
53084000 	33993700 	698460400 	656382400 	424788900 	333186600 	84180700 	
54505100 	37222600 	694657400 	645521400 	427705100 	336524200 	90786000 	
53710200 	34155400 	699900100 	650487000 	432732300 	343747500 	84192000 	
52909400 	34011100 	714667400 	651500800 	425403300 	333865500 	89478800 	
53542600 	37707100 	700178800 	639097200 	428858200 	337115000 	89431900 	
52599000 	33966800 	692580800 	644963600 	427714400 	341597100 	84584700 	
52665600 	36661800 	703460900 	655462900 	434160300 	337179500 	87460600 	
534	351	7000	6508	4288	3379	866	ms
1.00	1.52	0.08	0.08	0.12	0.16	0.62	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.850000 Variation=0.050000 
EigenDense	EigenSparse	RSR_______	RSRPP_____	SSR_______	SSR_VEC___	SSR_VEC_TREE	
53970900 	28175700 	698165000 	635688200 	366855300 	283828000 	70953400 	
54435100 	27472900 	691285500 	632228300 	367771900 	284104500 	70742700 	
52329500 	29283400 	695931200 	636716200 	364347100 	282603400 	70512500 	
52770300 	28647800 	684752700 	637427200 	367626900 	282809700 	70542700 	
52105600 	28406700 	684890600 	639546800 	362268700 	283112000 	70461800 	
52591100 	28622100 	687993800 	645804300 	364860600 	282956100 	71075200 	
52096000 	28256600 	683826000 	644092800 	359805800 	283656200 	70455600 	
52541600 	25909400 	690257700 	642407400 	360022500 	283216500 	70396100 	
52913700 	25760300 	695857200 	645156100 	360060300 	282311200 	70445100 	
52092000 	25819700 	699180200 	634937800 	362623500 	279952700 	70404700 	
527	276	6912	6394	3636	2828	705	ms
